title,author,rating,rank,number_of_reviews,price,cover_type,year
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,,4.5,4,Marie Kondō,8.89,Hardcover,2012
"Oh, the Places You'll Go!  ",Dr. Seuss,4.9,5,"45,644",8.96,Hardcover,2012
Diary of a Wimpy Kid #11: Double Down,Jeff Kinney,4.7,6,"27,712",13.99,Hardcover,2012
When Breath Becomes Air,Paul Kalanithi,4.7,7,"98,107",18.17,Hardcover,2012
Giraffes Can't Dance,,4.8,8,Giles Andreae,5.94,Board book,2012
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,9,"88,081",8.39,Paperback,2012
The Whole30: The 30-Day Guide to Total Health and Food Freedom,,4.6,10,Melissa Hartwig Urban,15.68,Hardcover,2012
A Man Called Ove: A Novel,Fredrik Backman,4.6,11,"180,735",12.54,Paperback,2012
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,12,"19,855",15.80,Hardcover,2012
How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,4.7,13,"105,360",10.30,Paperback,2012
The Magnolia Story,Chip Gaines,4.8,14,"14,000",14.10,Hardcover,2012
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,15,"11,598",4.99,Paperback,2012
To Kill a Mockingbird,Harper Lee,4.7,16,"128,056",21.47,Mass Market Paperback,2012
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.3,17,"81,524",14.63,Hardcover,2012
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,18,"13,286",13.55,Hardcover,2012
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,19,"14,107",26.13,Hardcover,2012
The Girl on the Train,Paula Hawkins,4.1,20,"376,233",10.33,Paperback,2012
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,21,"26,367",12.98,Paperback,2012
"The Official SAT Study Guide, 2016 Edition",The College Board,4.4,22,"1,109",,Paperback,2012
,,4.5,23,"3,146",8.99,Paperback,2012
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,24,"105,354",7.74,Paperback,2012
Milk and Honey,Rupi Kaur,4.7,25,"59,014",7.83,Paperback,2012
The Going To Bed Book,Sandra Boynton,4.8,26,"16,779",3.97,Board book,2012
Born to Run,Bruce Springsteen,4.6,27,"12,810",16.99,Hardcover,2012
Alexander Hamilton,Ron Chernow,4.7,28,"31,572",11.50,Paperback,2012
The Very Hungry Caterpillar,Eric Carle,4.9,29,"58,022",6.56,Board book,2012
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,30,"9,345",20.80,Paperback,2012
Wonder,R. J. Palacio,4.7,1,"82,598",9.40,Hardcover,2013
Milk and Honey,Rupi Kaur,4.7,2,"59,014",7.83,Paperback,2013
Giraffes Can't Dance,,4.8,3,Giles Andreae,5.94,Board book,2013
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,4,"130,364",14.09,Hardcover,2013
The Getaway,Jeff Kinney,4.8,5,"23,511",7.72,Hardcover,2013
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.4,6,"13,211",11.12,Paperback,2013
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.3,7,"81,524",14.63,Hardcover,2013
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,8,"23,155",9.99,Hardcover,2013
First 100 Words: A Padded Board Book,Roger Priddy,4.7,9,"36,473",4.78,Board book,2013
The Whole30: The 30-Day Guide to Total Health and Food Freedom,,4.6,10,Melissa Hartwig Urban,15.68,Hardcover,2013
The Handmaid's Tale,Margaret Atwood,4.3,11,"150,558",9.53,Paperback,2013
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,12,"88,081",8.39,Paperback,2013
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,13,"44,668",8.89,Paperback,2013
What Happened,Hillary Rodham Clinton,4.6,14,"8,421",14.72,Hardcover,2013
"Oh, the Places You'll Go!  ",Dr. Seuss,4.9,15,"45,644",8.96,Hardcover,2013
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,,4.7,16,Admiral William H. McRaven,11.58,Hardcover,2013
